step, lat, lon, alt, snr, load, handovers, allocated_bw, allocation_ratio, demand_MB, throughput_req, queing_delay_s, propagation_latency_s, transmission_rate_mbps, latency_req_s, beam_capacity, service_drop_s, dwell_remaining_s, ttt_remaining_s
0,29.956899642944336,-95.33689880371094,327.6600036621094,102.48252868652344,0.6591103076934814,0.0,0.5625,1.0,0.5625,4.5,0.0,0.05268693342804909,4.5,0.20000000298023224,60.0,0.0,4.0,0.0
1,29.954181671142578,-95.33330535888672,365.760009765625,8.830511093139648,0.6583361029624939,0.0,3.0705339908599854,1.0,3.0705339908599854,4.5,0.0,0.053876351565122604,4.5,0.20000000298023224,327.52362060546875,0.0,0.0,0.0
2,29.951461791992188,-95.3297119140625,403.8599853515625,8.818869590759277,0.6674675345420837,0.0,2.9863333702087402,1.0,2.9863333702087402,4.5,0.0,0.05309506505727768,4.5,0.20000000298023224,318.542236328125,0.0,0.0,0.0
3,29.94874382019043,-95.32611846923828,441.9599914550781,96.51876068115234,0.6788358688354492,1.0,2.906629800796509,1.0,2.906629800796509,4.5,0.0,0.0528242327272892,4.5,0.20000000298023224,310.04052734375,0.0,0.0,0.0
4,29.945999145507812,-95.32227325439453,472.44000244140625,9.066678047180176,0.6640035510063171,1.0,2.934174060821533,1.0,2.934174060821533,4.5,0.0,0.05241655930876732,4.5,0.20000000298023224,312.97857666015625,0.0,0.0,0.0
5,29.94325065612793,-95.31836700439453,501.0150146484375,101.68824768066406,0.6710619330406189,2.0,2.8654162883758545,1.0,2.8654162883758545,4.5,0.0,0.05590791255235672,4.5,0.20000000298023224,305.6444091796875,0.0,0.0,0.0
6,29.940500259399414,-95.31446075439453,529.5900268554688,8.920010566711426,0.6616528630256653,2.0,2.7719006538391113,1.0,2.7719006538391113,4.5,0.0,0.05247863382101059,4.5,0.20000000298023224,295.6694030761719,0.0,0.0,0.07217676192522049
7,29.937694549560547,-95.31027221679688,553.8787231445312,8.769492149353027,0.6510470509529114,2.0,2.812102794647217,1.0,2.812102794647217,4.5,0.0,0.053171224892139435,4.5,0.20000000298023224,299.9576416015625,0.0,0.0,0.0
8,29.934850692749023,-95.30590057373047,575.3099975585938,99.35435485839844,0.7045316696166992,3.0,2.7982611656188965,1.0,2.7982611656188965,4.5,0.0,0.05371840298175812,4.5,0.20000000298023224,298.481201171875,0.0,0.025313377380371094,0.0
9,29.9320068359375,-95.30152130126953,596.7412719726562,9.286669731140137,0.7069530487060547,3.0,2.6986773014068604,1.0,2.6986773014068604,4.5,0.0,0.05366066098213196,4.5,0.20000000298023224,287.85888671875,0.0,0.0,0.0
10,29.928987503051758,-95.29693603515625,620.0775146484375,9.28138542175293,0.7122839093208313,3.0,2.741957902908325,1.0,2.741957902908325,4.5,0.0,0.055123161524534225,4.5,0.20000000298023224,292.4754943847656,0.0,0.0,0.12540817260742188
11,29.92570686340332,-95.29203033447266,646.271240234375,9.315126419067383,0.6965864300727844,3.0,2.845323324203491,1.0,2.845323324203491,4.5,0.0,0.05125507339835167,4.5,0.20000000298023224,303.50115966796875,0.0,0.0,0.0
12,29.92242431640625,-95.28712463378906,672.4650268554688,9.032220840454102,0.6914221048355103,3.0,2.74784779548645,1.0,2.74784779548645,4.5,0.0,0.05151308327913284,4.5,0.20000000298023224,293.103759765625,0.0,0.0,0.11493728309869766
13,29.919055938720703,-95.28216552734375,704.8499755859375,8.904391288757324,0.6886470913887024,3.0,2.7104668617248535,1.0,2.7104668617248535,4.5,0.0,0.0531807616353035,4.5,0.20000000298023224,289.116455078125,0.0,0.0,0.0
14,29.915340423583984,-95.2770004272461,762.0,87.71990203857422,0.7017262578010559,4.0,2.8447391986846924,1.0,2.8447391986846924,4.5,0.0,0.052034761756658554,4.5,0.20000000298023224,303.4388427734375,0.0,0.0,0.0
15,29.911623001098633,-95.27183532714844,819.1500244140625,8.929997444152832,0.6933205127716064,4.0,2.80237078666687,1.0,2.80237078666687,4.5,0.0,0.05275510251522064,4.5,0.20000000298023224,298.9195556640625,0.0,0.0,0.018007362261414528
16,29.907907485961914,-95.26667022705078,876.2999877929688,8.742133140563965,0.6890239715576172,4.0,2.7612478733062744,1.0,2.7612478733062744,4.5,0.0,0.05229954048991203,4.5,0.20000000298023224,294.5331115722656,0.0,0.0,0.0
17,29.904190063476562,-95.2614974975586,933.4500122070312,8.612043380737305,0.6919154524803162,4.0,2.721315860748291,1.0,2.721315860748291,4.5,0.0,0.05339660495519638,4.5,0.20000000298023224,290.2737121582031,0.0,0.0,0.1621050238609314
18,29.90047264099121,-95.25633239746094,990.5999755859375,8.580742835998535,0.6849989295005798,4.0,2.6825242042541504,1.0,2.6825242042541504,4.5,0.0,0.056233394891023636,4.5,0.20000000298023224,286.13592529296875,0.0,0.0,0.23106810450553894
19,29.896745681762695,-95.25103759765625,1042.579345703125,8.410507202148438,0.6830612421035767,4.0,2.693821430206299,1.0,2.693821430206299,4.5,0.0,0.05308754742145538,4.5,0.20000000298023224,287.3409423828125,0.0,0.0,0.21098415553569794
20,29.89297866821289,-95.2452163696289,1073.875732421875,8.306903839111328,0.6698500514030457,4.0,2.860830068588257,1.0,2.860830068588257,4.5,0.0,0.052528657019138336,4.5,0.20000000298023224,305.15521240234375,0.0,0.0,0.0
21,29.889211654663086,-95.23939514160156,1105.172119140625,8.04495620727539,0.6810591816902161,4.0,2.8526313304901123,1.0,2.8526313304901123,4.5,0.0,0.05687133967876434,4.5,0.20000000298023224,304.2806701660156,0.0,0.0,0.0
22,29.88544273376465,-95.23357391357422,1136.4686279296875,8.107881546020508,0.6851856708526611,4.0,2.84447979927063,1.0,2.84447979927063,4.5,0.0,0.058264248073101044,4.5,0.20000000298023224,303.4111633300781,0.0,0.0,0.0
23,29.881675720214844,-95.22775268554688,1167.7650146484375,96.08522033691406,0.6872009038925171,5.0,2.8363749980926514,1.0,2.8363749980926514,4.5,0.0,0.06476540118455887,4.5,0.20000000298023224,302.5466613769531,0.0,0.0,0.0
24,29.877906799316406,-95.22193145751953,1199.0614013671875,8.663671493530273,0.6891144514083862,5.0,2.8283166885375977,1.0,2.8283166885375977,4.5,0.0,0.0551302433013916,4.5,0.20000000298023224,301.6871337890625,0.0,0.0,0.0
25,29.874122619628906,-95.21601867675781,1212.9246826171875,100.25364685058594,1.0,6.0,0.0,0.0,2.858996868133545,4.5,1000.0,0.056992072612047195,0.0,0.20000000298023224,304.95965576171875,5.082661151885986,0.0,0.0
26,29.870328903198242,-95.21004486083984,1215.1658935546875,87.71442413330078,0.6794474124908447,6.0,2.883331298828125,1.0,2.883331298828125,4.5,0.0,0.05503769963979721,4.5,0.20000000298023224,307.5553283691406,0.0,0.0,0.0
27,29.866535186767578,-95.2040786743164,1217.4071044921875,8.729785919189453,0.6932561993598938,6.0,2.886126756668091,1.0,2.886126756668091,4.5,0.0,0.057597361505031586,4.5,0.20000000298023224,307.853515625,0.0,0.0,0.0
28,29.862592697143555,-95.1982192993164,1230.7711181640625,98.62255096435547,0.7824051380157471,7.0,2.891329050064087,1.0,2.891329050064087,4.5,0.0,0.06022433936595917,4.5,0.20000000298023224,308.4084167480469,0.0,0.0,0.0
29,29.858055114746094,-95.19283294677734,1288.626708984375,10.506665229797363,0.7946860194206238,7.0,2.9247047901153564,1.0,2.9247047901153564,4.5,0.0,0.05775132775306702,4.5,0.20000000298023224,311.968505859375,0.0,0.0,0.0
30,29.853519439697266,-95.18744659423828,1346.482177734375,100.69110107421875,1.0,8.0,0.0,0.0,2.9212982654571533,4.5,1000.0,0.060093607753515244,0.0,0.20000000298023224,311.6051330566406,5.193418979644775,0.0,0.0
31,29.848981857299805,-95.18205261230469,1404.3377685546875,94.11974334716797,0.7142660021781921,8.0,2.9178998470306396,1.0,2.9178998470306396,4.5,0.0,0.05428911745548248,4.5,0.20000000298023224,311.2426452636719,0.0,0.0,0.0
32,29.844444274902344,-95.17666625976562,1462.193359375,9.429570198059082,0.7333395481109619,8.0,2.9145092964172363,1.0,2.9145092964172363,4.5,0.0,0.058909833431243896,4.5,0.20000000298023224,310.8809814453125,0.0,0.0,0.0
33,29.839906692504883,-95.17127990722656,1520.048828125,99.73388671875,0.7529305219650269,9.0,2.9111268520355225,1.0,2.9111268520355225,4.5,0.0,0.061141643673181534,4.5,0.20000000298023224,310.52020263671875,0.0,0.0,0.0
